week,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,transmission_rate,case_fatality_rate,Country,people_fully_vaccinated
47,129267.42857142857,50001092.71428572,1294.142857142857,795677.5714285715,0.06987561237918516,0.43072353994324913,United States,0.16584242051667009
48,201882.42857142858,51149480.571428575,1560.2857142857142,805574.1428571428,0.10509775084424021,0.42102017830705296,United States,0.1666594454397386
49,385589.14285714284,53150705.14285714,1291.5714285714287,815895.0,0.18405114653558122,0.3938563844164941,United States,0.16755032885202012
50,662630.7142857143,56898086.428571425,1638.4285714285713,825674.5714285715,0.27962118861714746,0.351447234343769,United States,0.16860290153217974
51,802840.4285714285,62165023.14285714,2002.0,838608.7142857143,0.30511262954885104,0.32023356452541246,United States,0.1694715731457848
52,713999.7142857143,67467060.57142857,2267.714285714286,853189.5714285715,0.25238849433970906,0.3023431115282613,United States,0.1702531026247938
53,537086.2857142857,71877275.42857143,2535.4285714285716,870370.7142857143,0.18113049447110088,0.2939066065972077,United States,0.1710925831572174
54,310574.71428571426,74781173.0,2563.1428571428573,888501.0,0.10116301791153567,0.28963413219337986,United States,0.1718590674183245
55,173625.57142857142,76424572.28571428,2358.0,905810.0,0.055086925105642746,0.2875017594876242,United States,0.17254173408912188
56,104763.0,77367977.14285715,2041.857142857143,921247.2857142857,0.03262601788986537,0.2870739051371903,United States,0.17307510466332324
57,68535.71428571429,77946360.28571428,1745.5714285714287,933765.0,0.02104612013420051,0.2870707714539994,United States,0.17346803140613004
0,35196.0,2488785.714285714,450.2857142857143,59728.0,0.04873333167139083,0.08295664537023219,Spain,0.0004218505956591947
1,30389.14285714286,2721831.8571428573,536.2857142857143,63292.857142857145,0.04008496708082117,0.08361944953481111,Spain,0.0017021460842596282
2,20480.0,2899853.5714285714,493.7142857142857,66973.28571428571,0.026020582549005303,0.08515449610656518,Spain,0.0037401774716516755
3,11771.857142857143,3009935.714285714,384.2857142857143,69992.42857142857,0.014508431561664042,0.08632174495129086,Spain,0.005089387875256976
4,7540.857142857143,3075347.1428571427,263.2857142857143,72192.71428571429,0.00906164729560879,0.08683107294708702,Spain,0.005693261357532202
5,5714.285714285715,3121058.714285714,194.85714285714286,73733.0,0.006696783331532339,0.08651962088911468,Spain,0.006001390453351412
6,4856.714285714285,3157510.4285714286,144.0,74906.85714285714,0.005556853500506917,0.08583107521625448,Spain,0.006579914280900899
7,4627.857142857143,3190438.1428571427,109.42857142857143,75771.57142857143,0.005170279955671118,0.08480433186514778,Spain,0.007529960365215067
8,4769.571428571428,3223581.1428571427,86.85714285714286,76447.0,0.005197678307876449,0.0834420519791683,Spain,0.008973744480681774
9,5814.0,3259650.4285714286,72.14285714285714,76980.28571428571,0.0061495363369806185,0.0816521987581721,Spain,0.011917866697420773
10,5892.571428571428,3303346.5714285714,75.57142857142857,77503.0,0.00602664419143676,0.07932834916684103,Spain,0.01351259302527599
11,8426.142857142857,3350922.0,77.85714285714286,78031.28571428571,0.008214607707481674,0.07636041309784102,Spain,0.014611051112538872
12,8429.857142857143,3410898.1428571427,80.28571428571429,78595.71428571429,0.007785379988210427,0.07284335210132327,Spain,0.015831411076026033
13,8318.285714285714,3469391.0,73.42857142857143,79130.14285714286,0.007278520214808836,0.06947713887467523,Spain,0.018774272944077915
14,7844.428571428572,3526320.8571428573,66.0,79621.14285714286,0.006545929107919418,0.06662173391961376,Spain,0.024320439719741894
15,6151.857142857143,3574747.8571428573,63.42857142857143,80059.85714285714,0.004907634962131492,0.06405461050170679,Spain,0.029589543805715844
